Timestamp,Topics of Interest [Sports (e.g. Football)],Topics of Interest [Crime Data (e.g. FBI Database)],"Topics of Interest [Health (e.g. fitness, disease)]","Topics of Interest [Movies (e.g. ratings, box office revenues)]","Topics of Interest [Traveling (e.g. flight delays, tarmac waits, airport performance)]","Topics of Interest [Environmental Data (e.g. pollution, fuel economy, CO2 emissions)]","Topics of Interest [Salaries - economics, financial data]","Topics of Interest [Global issues (e.g. birth motality, poverty)]",Anything else you can think of?
1/13/2020 12:11:34,Favorite,Like it,Like it very much,Like it very much,Like it,Don't like it that much,Like it,Like it,
1/13/2020 12:12:19,Don't like it that much,Like it very much,Like it very much,Like it,Like it,Favorite,Don't like it that much,Like it,"Music, Entertainment"
1/13/2020 12:35:24,Don't like it that much,Like it very much,Favorite,Like it very much,Like it very much,Like it very much,Favorite,Favorite,
1/13/2020 12:35:45,Like it,Like it,Don't like it that much,Like it,Like it very much,Like it,Favorite,Don't like it that much,student grades
1/13/2020 12:35:46,Like it,Favorite,Like it very much,Like it very much,Like it very much,Favorite,Like it,Like it very much,"Social media data(likes, views, shares,etc)"
1/13/2020 12:35:54,Don't like it that much,Like it very much,Like it very much,Favorite,Like it,Like it very much,Like it very much,Like it,
1/13/2020 12:35:56,Like it very much,Like it very much,Like it,Like it,Like it,Like it very much,Favorite,Like it very much,
1/13/2020 12:35:59,Favorite,Like it,Like it very much,Like it,Like it,Like it,Like it,Like it very much,
1/13/2020 12:36:04,Favorite,Like it very much,Like it very much,Don't like it that much,Don't like it that much,Like it very much,Like it very much,Like it,
1/13/2020 12:36:06,Don't like it that much,Like it,Favorite,Don't like it that much,Don't like it that much,Don't like it that much,Favorite,Don't like it that much,Bitcoin plz
1/13/2020 12:36:08,Favorite,Like it very much,Like it very much,Don't like it that much,Favorite,Like it,Favorite,Like it,Politics (polling and election outcomes)
1/13/2020 12:36:14,Favorite,Like it very much,Like it,Like it very much,Like it,Like it,Like it very much,Like it,
1/13/2020 12:36:15,Like it,Favorite,Like it,Favorite,Don't like it that much,Like it,Like it,Don't like it that much,
1/13/2020 12:36:15,Like it,Like it very much,Favorite,Like it,Like it,Favorite,Like it very much,Like it,Buying trends
1/13/2020 12:36:19,Don't like it that much,Favorite,Like it very much,Like it,Like it very much,Like it very much,Don't like it that much,Like it very much,
1/13/2020 12:36:25,Like it,Like it very much,Like it very much,Like it very much,Don't like it that much,Like it,Like it very much,Like it,
1/13/2020 12:36:27,Don't like it that much,Favorite,Don't like it that much,Like it very much,Like it,Like it,Don't like it that much,Like it,
1/13/2020 12:36:27,Favorite,Like it very much,Like it very much,Like it very much,Like it very much,Don't like it that much,Like it,Like it,
1/13/2020 12:36:42,Like it very much,Like it very much,Like it,Don't like it that much,Don't like it that much,Like it,Like it,Favorite,
1/13/2020 12:36:49,Don't like it that much,Like it very much,Like it very much,Like it very much,Like it very much,Like it,Like it very much,Like it very much,
1/13/2020 12:36:58,Favorite,Favorite,Like it very much,Like it very much,Like it very much,Like it very much,Don't like it that much,Don't like it that much,
1/13/2020 12:37:01,Don't like it that much,Like it,Like it,Like it very much,Favorite,Favorite,Like it very much,Favorite,Implementation of API (Spotify/Spotipy?) for analysis of audio/popular music
1/13/2020 12:37:06,Like it,Like it,Favorite,Don't like it that much,Don't like it that much,Like it very much,Favorite,Favorite,other more niche sports
